Date,Dividends
2010-09-22,0.02
2017-03-29,0.14
2019-03-28,0.17
2013-03-26,0.025
2015-03-25,0.135
2016-12-28,0.125
2017-06-28,0.14
2018-12-27,0.16
2011-03-23,0.02
2009-12-29,0.04
2013-06-26,0.025
2015-06-24,0.135
2011-12-28,0.025
2015-09-30,0.135
2013-12-26,0.025
2017-09-28,0.14
2016-06-01,0.16
2011-06-22,0.02
2009-06-24,0.03
2013-09-25,0.025
2015-09-23,0.135
2015-12-17,0.135
2011-09-28,0.025
2012-12-12,0.025
2009-09-23,0.03
2016-07-05,24.56
2018-03-28,0.16
2016-03-22,0.16
2014-03-26,0.1
2016-03-23,0.16
2012-03-28,0.025
2017-12-28,0.14
2018-06-28,0.16
2014-12-23,0.1
2010-03-24,0.04
2014-06-25,0.1
2010-12-29,0.02
2012-06-27,0.025
2016-09-28,0.125
2018-09-27,0.16
2010-06-23,0.02
2014-09-24,0.1
2012-09-26,0.025
